hb,cancer_site_icd10code,cancer_site,sex,sex_qf,year,incidences_all_ages,crude_rate,crude_rate_lower95pc_confidence_interval,crude_rate_upper95pc_confidence_interval,easr,easr_lower95pc_confidence_interval,easr_lower95pc_confidence_interval_qf,easr_upper95pc_confidence_interval,easr_upper95pc_confidence_interval_qf,wasr,wasr_lower95pc_confidence_interval,wasr_lower95pc_confidence_interval_qf,wasr_upper95pc_confidence_interval,wasr_upper95pc_confidence_interval_qf,standardised_incidence_ratio,sir_lower95pc_confidence_interval,sir_upper95pc_confidence_interval
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2004,638,582.914572864322,538.554394201927,629.954404739486,592.556568298413,545.940920677923,NA,641.054690765199,NA,276.320069204659,252.399818897521,NA,301.307751236418,NA,91.4330642028504,84.474948464281,98.8114969409426
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2005,734,665.759637188209,618.460961447602,715.716167040688,665.8415461455,617.165302314632,NA,716.339104295996,NA,327.003908933254,300.937592922393,NA,354.137428762345,NA,106.056812336126,98.5220407811024,114.01498524956
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2006,709,639.545372541945,593.329827258293,688.404711251763,637.005621226695,589.803144560334,NA,685.999262490243,NA,293.44932211668,269.292134138084,NA,318.629334771763,NA,100.171766097632,92.9330415426754,107.824587084315
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2007,701,624.777183600713,579.376781961892,672.789988509601,619.369031068231,573.303182859964,NA,667.189651285037,NA,286.653541042377,262.463680979188,NA,311.894459381761,NA,95.5924985119492,88.6461215634681,102.938579806654
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2008,777,685.426958362738,638.07320572763,735.364761757074,670.857755756922,623.273171007791,NA,720.167891790451,NA,311.259583476456,287.147595037475,NA,336.329800569789,NA,102.273229714939,95.2075297712378,109.724498410597
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2009,691,608.328197904745,563.810422002806,655.426641413589,587.979427159421,543.576008413758,NA,634.101325250015,NA,269.032727673022,246.660433121472,NA,292.362327803331,NA,88.0862598228943,81.6400612275604,94.9061405163478
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2010,780,686.015831134565,638.710999225034,735.896927760739,639.716578047072,594.631398724724,NA,686.425818848336,NA,285.820135616458,262.784297738767,NA,309.809998533425,NA,99.2022009037889,92.3616248910631,106.415320986787
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2011,758,665.612925886898,619.065657983764,714.732825649407,609.992090836634,566.60757580776,NA,654.954272064806,NA,282.209079248142,259.807221126968,NA,305.524131335648,NA,93.9364284618302,87.3673191019867,100.868607466535
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2012,737,648.083010903975,602.1322482604,696.610463019415,590.234177452233,547.449187851005,NA,634.606031121562,NA,271.106438242658,249.102451896769,NA,294.028416324066,NA,90.4614897785883,84.0475360484913,97.2351060278381
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2013,787,691.078328064629,643.633039342177,741.095673543208,622.307066630094,578.679646403561,NA,667.497462907015,NA,277.392077030333,255.676698474909,NA,299.979935376077,NA,94.4266183695121,87.9438536962617,101.260820227048
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2014,840,736.583654857945,687.6077259289,788.127059958371,652.719700063442,608.162651957455,NA,698.829581843605,NA,290.178738609667,267.874139069044,NA,313.362587971743,NA,99.0291198421316,92.4446088998823,105.958812086994
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2015,786,689.292291502236,641.940061981058,739.213213661064,606.837223546257,564.383005340884,NA,650.80910160395,NA,274.050223690361,252.021783017703,NA,296.988437674849,NA,93.6735100043954,87.238432170991,100.457668276472
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2016,791,690.648738321837,643.350857322127,740.504002300855,596.286835059373,554.610059824505,NA,639.452021707262,NA,273.519100015672,251.864667491447,NA,296.053818526515,NA,94.4019021330946,87.9369515938572,101.216410710063
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2017,912,792.905581637976,742.273654047935,846.081937358499,675.159213352327,631.189123818207,NA,720.588839229715,NA,313.117861583505,289.358196263082,NA,337.801663469429,NA,107.266883006801,100.417228799562,114.460755846008
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2018,828,718.313524767936,670.213501284409,768.9538375476,618.209997155612,575.72090532656,NA,662.19031537801,NA,292.888135310169,269.190227341456,NA,317.57149582584,NA,94.026738012333,87.7304785789139,100.655519537969
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1994,228,451.386826631823,394.693086758909,513.937832442414,550.819827225592,477.109973621337,NA,629.746842624784,NA,241.581476926593,208.27615202126,NA,277.320890341594,NA,72.1782898818259,63.1127679179567,82.1804086044425
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1995,293,576.658138161779,512.512852066158,646.611455588107,704.500736467898,622.890691814685,NA,791.061725370697,NA,303.947075133276,267.490792550451,NA,342.698481345766,NA,92.9134060451027,82.5780676210576,104.184557106897
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1996,349,686.872662861641,616.691612552346,762.852470561296,875.963311380042,780.065976455329,NA,977.339631797658,NA,335.651443707366,298.675112255385,NA,374.754425911788,NA,104.055067800077,93.4232660949547,115.565329409101
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1997,296,581.692410486185,517.306165721916,651.877450682546,688.706197787778,611.237771317273,NA,770.72975618656,NA,290.475377600544,255.201445463515,NA,327.999475197576,NA,93.7546571845412,83.3771617996029,105.066777240557
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1998,286,561.400753768844,498.21583920554,630.37976493387,665.253648515115,588.382036184191,NA,746.776373807013,NA,276.983169512186,243.169506362228,NA,312.966041958087,NA,91.3422277272784,81.0617804421179,102.565398526284
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1999,266,522.326512979618,461.436961628896,589.016331440691,626.666627536258,551.248483680637,NA,706.849839689438,NA,255.15598486692,222.902205538561,NA,289.557414753159,NA,85.019900593898,75.108813420639,95.8751062847621
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2000,298,583.124608641202,518.790416995971,653.232491149773,670.740663635206,594.627206820319,NA,751.371512498018,NA,298.761635923204,261.799317393166,NA,338.129180763135,NA,94.1841534030709,83.7931301377412,105.507722093369
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2001,304,590.669749548254,526.130617832733,660.940775275,681.86742668656,605.434793273268,NA,762.77769838659,NA,291.333716959861,256.379568086457,NA,328.489150371146,NA,94.1702558341783,83.8808063581986,105.373539014803
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2002,306,589.902261292002,525.651855426436,659.839350267498,658.245955185785,584.535784584835,NA,736.269641685295,NA,292.017104006009,257.387399308838,NA,328.800716031519,NA,91.4903266978416,81.5254714856664,102.337152584981
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2003,316,604.275825142464,539.479716163439,674.711156696108,692.720895747119,615.194225638902,NA,774.781686966948,NA,292.999572756962,256.644468643358,NA,331.727758866034,NA,92.4113074817608,82.5021022788709,103.182913445393
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2004,329,622.175154598234,556.753898074954,693.171201854837,680.056801091851,605.813612705038,NA,758.529292440483,NA,294.757279287701,261.558043150832,NA,329.911371655584,NA,93.1457162749528,83.3515132222718,103.774520118264
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2005,328,615.315349116422,550.519597828975,685.641386874838,667.221468270729,594.356734623613,NA,744.238352663944,NA,302.293980382227,266.567411203213,NA,340.234634463348,NA,94.3305939024723,84.3971155485213,105.111889896608
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2006,383,713.553795994411,643.872391048203,788.72007085865,755.285517540584,679.619232104567,NA,834.888029456241,NA,338.548078315264,302.942434515317,NA,376.103470437264,NA,106.396519807266,96.0064706993002,117.604406440798
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2007,378,695.428203477141,627.080779316796,769.192477789346,726.937414078589,653.70933625454,NA,803.997039729211,NA,321.615957057474,286.733030952361,NA,358.47232585313,NA,102.917679265415,92.8028201855256,113.834187809289
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2008,373,680.011667760519,612.744616991819,752.647092237851,710.830566725449,638.2272619707,NA,787.28858253077,NA,303.086735375697,270.393231036071,NA,337.619117805786,NA,97.6275160513412,87.9701595823337,108.055596046513
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2009,359,653.785216076924,587.896810027625,725.037983987624,667.064360865821,597.237633205996,NA,740.695758836541,NA,281.276744584315,250.394203365994,NA,313.929168167283,NA,90.7170738066901,81.5746165476441,100.603872171867
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2010,391,711.672521432082,642.871246844322,785.831355812589,702.485734524195,633.040405083228,NA,775.493313795909,NA,299.630250066038,267.474300632113,NA,333.585089588368,NA,99.786389688777,90.1394936932936,110.184490112084
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2011,358,648.609475495969,583.15388533068,719.40195445758,622.345630682834,558.284559692202,NA,689.835862285453,NA,268.732092753891,239.443403919374,NA,299.686274817829,NA,87.3184277010037,78.5065317398725,96.848797190684
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2012,363,657.811282460178,591.873686822858,729.08628916266,632.597692080486,567.533274253096,NA,701.14204281524,NA,278.137734628991,247.429334664985,NA,310.616453883076,NA,88.7473120582212,79.8514713628341,98.3632390428118
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2013,396,715.951619026957,647.163904129876,790.060495785921,675.228959403495,608.669140970349,NA,745.192718490793,NA,274.85347757114,246.093407295223,NA,305.179997008926,NA,93.4471833390649,84.4688976076924,103.119995872067
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2014,401,724.886567002296,655.664993639959,799.427984389958,680.23635451349,613.06910045766,NA,750.844756927096,NA,275.633593532622,246.511231807469,NA,306.358454609808,NA,92.4177836350373,83.5925347187375,101.921274108686
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2015,412,745.391058925696,675.144340699905,820.96087640082,679.694811390247,614.391058496805,NA,748.24934976164,NA,291.585724458697,259.526410266845,NA,325.485091320461,NA,97.0780859008769,87.9293084041269,106.920132091956
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2016,411,740.327112904388,670.474909749807,815.479219644028,654.420618250781,591.194380056901,NA,720.812694136997,NA,281.611608629751,251.921594879935,NA,312.931645786426,NA,96.4920610463643,87.3877300911296,106.287165865416
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2017,470,842.4599831508,768.007904636566,922.180490524284,737.782079781587,671.119091679874,NA,807.556325231693,NA,328.715009699015,294.787011901148,NA,364.464380188104,NA,107.971647097577,98.4296941172645,118.188814275509
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2018,446,796.585043490686,724.362328345507,874.059481669815,697.031734506448,631.911555613844,NA,765.299562458542,NA,300.269213313285,268.205066689332,NA,334.117672265214,NA,99.0066314719404,90.0301539436309,108.635839567142
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1994,290,527.858169970331,468.847312167176,592.241078205218,499.807288810242,443.321382916067,NA,559.631184440636,NA,238.151343673568,206.910847021784,NA,271.556246896314,NA,93.4586255748589,83.0106037803184,104.857782500825
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1995,294,533.284962815164,474.062328077711,597.860336553973,511.629930308906,454.245318236163,NA,572.378416183138,NA,245.358521100628,213.818447517765,NA,279.036783959726,NA,93.4560521084957,83.0775227593677,104.772627511638
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1996,368,668.483197093551,601.920615272481,740.395458272449,638.982087431199,574.764760426685,NA,706.551179691587,NA,322.068019079969,284.560520973705,NA,361.863844800114,NA,111.427583118086,100.332453650854,123.414435584326
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1997,321,582.85216254494,520.82814210689,650.229982210038,549.308038632099,490.371653121208,NA,611.540563561059,NA,264.166269208006,230.94616374255,NA,299.586135728239,NA,99.2520974522603,88.6902182717509,110.725658593943
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1998,286,519.093945113983,460.670606078246,582.874741265992,489.033607175836,433.643843348246,NA,547.70422577628,NA,239.457984604985,207.39737588286,NA,273.789109286057,NA,90.6983194904753,80.4903432282977,101.842373627885
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1999,371,675.971139129801,608.928503289374,748.379263613266,645.817749326194,581.40634377874,NA,713.564150466083,NA,336.653440685539,298.272717704157,NA,377.32340093446,NA,116.740208087786,105.16194563587,129.245090367712
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2000,301,545.823813150546,485.896941392838,611.100680159122,510.009947548293,453.716719026535,NA,569.547446608314,NA,237.160358016948,206.805612794505,NA,269.563436499226,NA,92.9763201929625,82.768300897237,104.095664461126
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2001,312,562.334408737812,501.661404665398,628.323133386642,529.357500493599,471.895212845574,NA,590.073423095971,NA,268.226924751373,235.179066346486,NA,303.415828284775,NA,97.4539397635575,86.939158536816,108.889948474878
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2002,391,702.517203586252,634.601023642559,775.722020944345,660.882451921762,596.686790790165,NA,728.310766833672,NA,344.273222957204,306.163504379445,NA,384.586030854158,NA,120.449256842126,108.804768479401,133.000502282144
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2003,299,533.014831717056,474.304616268493,596.984769160376,489.956467457891,435.607274562819,NA,547.454439281076,NA,229.80277237385,199.913954169448,NA,261.743463538172,NA,89.7711608142157,79.883097895794,100.545074033479
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2004,309,546.216259214085,487.005154197656,610.641317076422,505.056335504975,449.937368990286,NA,563.314018347961,NA,257.882859121616,224.080643368907,NA,294.024984654367,NA,89.6774585599048,79.9562147726234,100.254726005187
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2005,406,712.981174487216,645.306503174798,785.823355607939,664.461624020271,601.090340659781,NA,730.963132428613,NA,351.713837484281,314.37152559585,NA,391.121576415706,NA,117.896920886706,106.706393485345,129.941935779255
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2006,326,570.079566319839,509.868656033188,635.445914996703,518.725724912806,463.475625177606,NA,577.042017586324,NA,248.350565918096,216.344477318873,NA,282.532367449484,NA,93.7293117179985,83.8297687199676,104.476483223465
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2007,323,558.388797648889,499.147096448485,622.727542091164,511.800648057874,457.060159691281,NA,569.592489504825,NA,251.69112502728,218.825431496008,NA,286.822659467266,NA,88.242372032398,78.8803857977721,98.4098457479837
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2008,404,690.503862719628,624.804722210242,761.232580753337,630.884944788395,570.483405616038,NA,694.282140656121,NA,319.432431577214,284.533351823572,NA,356.321141163789,NA,106.973058975113,96.7949290445372,117.930372516639
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2009,332,565.790146389679,506.559648485111,630.043996826981,508.894493453022,455.166140264421,NA,565.576984122624,NA,256.78871076173,224.980144640423,NA,290.669860692654,NA,85.4079801534394,76.4669315653864,95.1073211864157
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2010,389,662.026242788339,597.864429007181,731.197709928303,576.947421569949,520.491512063987,NA,636.268315238809,NA,272.010021166878,239.58647138432,NA,306.461346446211,NA,98.6218612371828,89.0636940732953,108.926315038164
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2011,400,681.60518019937,616.437414383811,751.787761943731,597.638550990435,540.108768629345,NA,658.037891124522,NA,295.686065742393,262.290317888381,NA,331.054001166847,NA,100.772151733409,91.1374010365733,111.148319611882
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2012,374,638.912141039001,575.79301694407,707.061576781283,547.870662823981,493.319563583105,NA,605.241248716853,NA,264.075141856325,233.097022711338,NA,296.957916585525,NA,92.1897871647826,83.0822147106476,102.02319237487
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2013,391,667.58865611501,603.049209869964,737.153793298493,569.385173856692,513.975204173979,NA,627.590798954796,NA,279.930676489526,247.884669148985,NA,313.896495447335,NA,95.4397294032522,86.2130488282579,105.384892203544
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2014,439,747.603072154766,679.295984800572,820.918164199343,625.203045613394,567.639742474425,NA,685.50642513208,NA,304.723883686713,271.421510302354,NA,339.92547975141,NA,105.952612158576,96.2719211559808,116.343053024984
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2015,374,636.519904011437,573.637112733037,704.414172269618,533.979635702267,480.694724425376,NA,590.024974089546,NA,256.514722922025,226.855365075067,NA,287.969827989836,NA,90.1891600178245,81.2792326310555,99.8091687334045
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2016,380,643.915003219575,580.792792563177,712.026196399266,538.153051867965,484.787776789094,NA,594.264690229333,NA,265.426591401592,234.414497570356,NA,298.337312798599,NA,92.2408305455773,83.1985732480974,101.997759638597
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2017,442,746.23085884081,678.275381752067,819.150955327512,612.536346923068,556.113483708843,NA,671.646289468662,NA,297.520713467996,264.808442074989,NA,332.110540593454,NA,106.527496787781,96.826575442169,116.937137788581
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2018,382,644.388589936067,581.381259380751,712.362213932691,539.388259804777,485.752078467918,NA,595.792814261663,NA,285.507057307054,251.18019044133,NA,322.000537318798,NA,88.8112466668726,80.1274188288835,98.179541484452
S08000016,C67,Bladder,All,d,1994,23,21.8112849691797,13.8264836766664,32.7276366949578,22.6771526914249,14.2734678123722,NA,32.9948526362738,NA,10.9262337214759,6.5316391970597,NA,16.4330049100894,NA,65.6804077231345,41.63574436554,98.5528603645716
S08000016,C67,Bladder,All,d,1995,33,31.1497073815367,21.442025271597,43.7457705013868,36.2236095257318,24.6563805931295,NA,49.9805601809303,NA,15.9693014958757,10.7375640916259,NA,22.2229146767445,NA,94.8573478567718,65.2954335984272,133.214983976772
S08000016,C67,Bladder,All,d,1996,40,37.7857547704515,26.9946971866512,51.453473421485,45.2518793033077,31.3223872364942,NA,61.7035303615364,NA,17.2213364360235,11.9043203838641,NA,23.504590150991,NA,114.258626649221,81.628038029039,155.587819938652
S08000016,C67,Bladder,All,d,1997,30,28.312570781427,19.1023726136476,40.4179552612378,30.6664871334242,20.5463662847148,NA,42.78100446767,NA,12.8818281241111,8.26126805648982,NA,18.5122986205687,NA,100.301547058863,67.6730326057358,143.186695159363
S08000016,C67,Bladder,All,d,1998,15,14.1456054319125,7.91718797886016,23.3310249636796,16.6574787994967,NA,z,NA,z,6.24259605213499,NA,z,NA,z,63.6936782189926,35.6488681910462,105.053035991191
S08000016,C67,Bladder,All,d,1999,28,26.4625271713449,17.584157126791,38.2457196326133,28.2570558508282,18.570170815986,NA,39.9448076870313,NA,10.7230684251604,6.81075135536026,NA,15.5090541207997,NA,133.298136137873,88.5756434137889,192.652920458766
S08000016,C67,Bladder,All,d,2000,22,20.7058823529412,12.9762662326867,31.3489547172943,22.9818486558559,14.2717447233915,NA,33.733366411712304,NA,7.43437107339471,4.4164121198327,NA,11.2254201024354,NA,114.827978745332,71.9620829367395,173.85093977676
S08000016,C67,Bladder,All,d,2001,20,18.700327255727,11.4226457086526,28.881138758929,22.8549756294983,13.4177723321919,NA,34.7642806776413,NA,8.6540637029936,5.01308073296087,NA,13.2727632796888,NA,98.1525660415607,59.9541372702191,151.588677600448
S08000016,C67,Bladder,All,d,2002,15,13.9495954617316,7.80748268649058,23.0077363261284,15.1289204400866,NA,z,NA,z,5.54697298117203,NA,z,NA,z,74.2764487630493,41.5719645291797,122.507706626303
S08000016,C67,Bladder,All,d,2003,23,21.219669711228,13.4514503524723,31.8399233276437,25.0309751398159,15.2994897309129,NA,37.1191078145635,NA,8.40753956341199,5.09150615668295,NA,12.541703807721,NA,115.023136262713,72.9148015911321,172.591180228034
S08000016,C67,Bladder,All,d,2004,18,16.4458656920968,9.74686229364964,25.9915580333741,17.3557994065282,NA,z,NA,z,7.08429165846549,NA,z,NA,z,84.6367979404706,50.1611304595323,133.762629867873
S08000016,C67,Bladder,All,d,2005,17,15.4195011337868,8.98242763683201,24.6881150257656,18.5379512045747,NA,z,NA,z,5.68495006876852,NA,z,NA,z,88.3914542745759,51.4912794419785,141.523280908473
S08000016,C67,Bladder,All,d,2006,15,13.5305791087859,7.5729624145619,22.3166325739544,13.9862858162627,NA,z,NA,z,5.64564783568066,NA,z,NA,z,78.8687077867872,44.1422170442489,130.081939517092
S08000016,C67,Bladder,All,d,2007,20,17.825311942959,10.8881636233547,27.5297485763588,18.0475130136388,10.9636283170444,NA,26.8682098551067,NA,6.73265132733665,3.93238460165384,NA,10.273530816638,NA,101.257560414716,61.8507484988302,156.384089579633
S08000016,C67,Bladder,All,d,2008,15,13.2321806633733,7.4059510698512,21.8244697172599,13.0123534602777,NA,z,NA,z,5.43167559899457,NA,z,NA,z,73.7944651532179,41.3022019615658,121.712747959656
S08000016,C67,Bladder,All,d,2009,18,15.846465357866,9.39161966757596,25.0442470882366,15.6290575279558,NA,z,NA,z,5.30891319830113,NA,z,NA,z,89.0024253467426,52.7484779394989,140.662203305149
S08000016,C67,Bladder,All,d,2010,27,23.7467018469657,15.6492261493094,34.5502044372578,24.2032582837112,15.5801673362363,NA,34.6951769811098,NA,8.51679686001955,5.38397245435882,NA,12.3564842664114,NA,126.242811820733,83.194808468099,183.676663195143
S08000016,C67,Bladder,All,d,2011,28,24.5872848612575,16.3380722302929,35.5354723772991,23.940508651777,15.8549359650817,NA,33.6656244802333,NA,8.8555215529776,5.57924141657075,NA,12.876462451749,NA,129.420344725495,85.9988791819125,187.048432187813
S08000016,C67,Bladder,All,d,2012,17,14.9489975378122,8.70834195357659,23.9347931902098,14.0515886725893,NA,z,NA,z,4.51086850727902,NA,z,NA,z,74.1067522087965,43.1699140809154,118.652089120302
S08000016,C67,Bladder,All,d,2013,25,21.952932911837,14.2067806882941,32.4068595868725,20.4578172348056,13.0159573469547,NA,29.5552744980769,NA,6.36667480257882,3.9284881891475,NA,9.38398598395666,NA,113.740364378421,73.6067667413863,167.903215145514
S08000016,C67,Bladder,All,d,2014,14,12.2763942476324,6.71161897255401,20.5977035442262,12.0338319889707,NA,z,NA,z,3.39640321740112,NA,z,NA,z,61.0087537219726,33.3540533737123,102.362322146037
S08000016,C67,Bladder,All,d,2015,24,21.0470928702973,13.4852695384429,31.3164058526293,19.5640450782119,12.3269708422494,NA,28.4456905073711,NA,6.17582243863718,3.82300428765025,NA,9.08377152528946,NA,105.06230558912,67.3154016058429,156.324382750508
S08000016,C67,Bladder,All,d,2016,19,16.5895398585523,9.98798669725551,25.9066214717416,15.2538218997673,NA,z,NA,z,4.30792641108507,NA,z,NA,z,79.0074591622157,47.5676515337075,123.379934308691
S08000016,C67,Bladder,All,d,2017,21,18.2576943140323,11.3018005425806,27.9088251912218,16.425480774724,9.99110639117034,NA,24.4333589906389,NA,6.03738586054176,3.48974995933693,NA,9.27185157718396,NA,92.2261982180069,57.0894702875661,140.977540747798
S08000016,C67,Bladder,All,d,2018,20,17.3505682311096,10.5981778306619,26.7965454174326,15.1197482911112,9.04355225140947,NA,22.7320161636291,NA,4.49669039579509,2.66223102840449,NA,6.80413355046225,NA,90.8899605051857,55.5179491314096,140.372172382167
S08000016,C67,Bladder,Male,NA,1994,11,21.777434618202,10.8712168977784,38.9658460796697,24.2888439281783,NA,z,NA,z,11.6044526837413,NA,z,NA,z,44.5468807963914,22.2376423921062,79.7066748620043
S08000016,C67,Bladder,Male,NA,1995,23,45.2666797874434,28.6951919642683,67.9222454139598,55.0807877938233,34.565967255843,NA,80.298070109096,NA,23.7785209839716,14.7904108459019,NA,34.866076709443,NA,96.9697345520383,61.4704935453811,145.502213524331
S08000016,C67,Bladder,Male,NA,1996,30,59.0434953749262,39.8363983889411,84.2882609620303,74.5381187906176,48.5819258888015,NA,105.961192617086,NA,30.1070945358011,19.9148475650418,NA,42.3721144111346,NA,125.627857936616,84.7605882025335,179.341578722982
S08000016,C67,Bladder,Male,NA,1997,18,35.3731871241599,20.9643925252516,55.9048859559171,40.9340990780355,NA,z,NA,z,16.5961005990434,NA,z,NA,z,87.7142572900778,51.9850279092932,138.626342412911
S08000016,C67,Bladder,Male,NA,1998,12,23.5552763819095,12.1713550343951,41.1463274343926,28.6968660248648,NA,z,NA,z,11.1892014831378,NA,z,NA,z,74.2282223822409,38.354805672335,129.661766370028
